iter	Passed	Remaining
670	5354	2625
671	5361	2616
672	5369	2608
673	5380	2602
674	5393	2596
675	5399	2588
676	5411	2581
677	5417	2573
678	5422	2563
679	5426	2553
680	5431	2544
681	5438	2535
682	5446	2527
683	5452	2519
684	5463	2512
685	5477	2507
686	5490	2501
687	5496	2492
688	5505	2484
689	5511	2476
690	5520	2468
691	5525	2459
692	5529	2449
693	5537	2441
694	5541	2431
695	5550	2424
696	5560	2417
697	5572	2411
698	5576	2401
699	5583	2393
700	5591	2384
701	5598	2376
702	5604	2367
703	5615	2361
704	5624	2353
705	5633	2345
706	5638	2336
707	5645	2328
708	5648	2318
709	5655	2309
710	5661	2301
711	5671	2293
712	5677	2285
713	5687	2278
714	5696	2270
715	5701	2261
716	5707	2252
717	5717	2245
718	5722	2236
719	5728	2227
720	5740	2221
721	5748	2213
722	5753	2204
723	5761	2196
724	5770	2188
725	5783	2182
726	5789	2174
727	5799	2166
728	5805	2158
729	5809	2148
730	5818	2141
731	5827	2133
732	5831	2124
733	5835	2114
734	5841	2106
735	5852	2099
736	5856	2089
737	5866	2082
738	5872	2073
739	5881	2066
740	5891	2059
741	5901	2051
742	5905	2042
743	5920	2037
744	5929	2029
745	5935	2021
746	5946	2013
747	5952	2005
748	5959	1996
749	5968	1989
750	5975	1981
751	5986	1974
752	5992	1965
753	6004	1958
754	6013	1951
755	6018	1942
756	6024	1933
757	6032	1925
758	6040	1917
759	6051	1911
760	6061	1903
761	6067	1894
762	6074	1886
763	6082	1878
764	6086	1869
765	6097	1862
766	6103	1854
767	6115	1847
768	6121	1838
769	6131	1831
770	6139	1823
771	6150	1816
772	6156	1808
773	6166	1800
774	6172	1792
775	6177	1783
776	6181	1774
777	6189	1766
778	6195	1757
779	6208	1751
780	6215	1742
781	6223	1734
782	6230	1726
783	6236	1718
784	6243	1710
785	6251	1702
786	6263	1695
787	6272	1687
788	6278	1679
789	6286	1671
790	6298	1664
791	6308	1656
792	6312	1647
793	6317	1639
794	6327	1631
795	6333	1623
796	6338	1614
797	6346	1606
798	6353	1598
799	6359	1589
800	6364	1581
801	6370	1572
802	6378	1564
803	6385	1556
804	6389	1547
805	6399	1540
806	6405	1532
807	6412	1523
808	6418	1515
809	6423	1506
810	6430	1498
811	6439	1490
812	6446	1482
813	6453	1474
814	6458	1465
815	6462	1457
816	6465	1448
817	6471	1439
818	6476	1431
819	6481	1422
820	6485	1414
821	6489	1405
822	6493	1396
823	6496	1387
824	6500	1378
825	6504	1370
826	6508	1361
827	6512	1352
828	6516	1344
829	6520	1335
830	6524	1326
831	6528	1318
832	6532	1309
833	6535	1300
834	6539	1292
835	6543	1283
836	6547	1274
837	6551	1266
838	6554	1257
839	6558	1249
840	6562	1240
841	6565	1231
842	6569	1223
843	6572	1214
844	6576	1206
845	6579	1197
846	6582	1189
847	6585	1180
848	6588	1171
849	6592	1163
850	6595	1154
851	6598	1146
852	6603	1137
853	6606	1129
854	6610	1121
855	6613	1112
856	6617	1104
857	6620	1095
858	6624	1087
859	6628	1079
860	6632	1070
861	6635	1062
862	6640	1054
863	6644	1045
864	6647	1037
865	6651	1029
866	6655	1020
867	6658	1012
868	6662	1004
869	6668	996
870	6675	988
871	6680	980
872	6685	972
873	6691	964
874	6695	956
875	6699	948
876	6707	940
877	6714	933
878	6721	925
879	6729	917
880	6734	909
881	6739	901
882	6746	893
883	6749	885
884	6753	877
885	6755	869
886	6761	861
887	6768	853
888	6773	845
889	6780	838
890	6782	829
891	6788	821
892	6791	813
893	6799	806
894	6806	798
895	6812	790
896	6818	782
897	6822	774
898	6826	766
899	6830	758
900	6832	750
901	6835	742
902	6838	734
903	6841	726
904	6844	718
905	6848	710
906	6852	702
907	6855	694
908	6858	686
909	6861	678
910	6867	670
911	6871	663
912	6875	655
913	6880	647
914	6883	639
915	6888	631
916	6893	623
917	6901	616
918	6905	608
919	6909	600
920	6914	593
921	6918	585
922	6921	577
923	6925	569
924	6928	561
925	6931	553
926	6935	546
927	6939	538
928	6944	530
929	6948	523
930	6951	515
931	6953	507
932	6957	499
933	6960	491
934	6963	484
935	6966	476
936	6968	468
937	6971	460
938	6977	453
939	6979	445
940	6982	437
941	6985	430
942	6987	422
943	6990	414
944	6992	406
945	6995	399
946	6998	391
947	7000	384
948	7002	376
949	7005	368
950	7008	361
951	7011	353
952	7014	345
953	7016	338
954	7019	330
955	7022	323
956	7024	315
957	7026	308
958	7028	300
959	7030	292
960	7032	285
961	7034	277
962	7037	270
963	7040	262
964	7042	255
965	7044	247
966	7045	240
967	7048	232
968	7049	225
969	7053	218
970	7064	210
971	7066	203
972	7068	196
973	7070	188
974	7072	181
975	7074	173
976	7076	166
977	7077	159
978	7079	151
979	7081	144
980	7084	137
981	7086	129
982	7088	122
983	7090	115
984	7092	108
985	7094	100
986	7096	93
987	7099	86
988	7101	78
989	7104	71
990	7106	64
991	7108	57
992	7111	50
993	7114	42
994	7116	35
995	7118	28
996	7120	21
997	7122	14
998	7124	7
999	7126	0
